codigo;detalhe;ean;marca;link
2;LATEX INTERIOR ALBALATEX  MATE BLANCO 1 LITROS;7792833805237;Alba;https://somosrex.com/latex-interior-albalatex-1-l-blanco-mate-alba.html
4;LATEX INTERIOR ALBALATEX MATE BLANCO 10 LITROS;7792833805077;Alba;https://somosrex.com/albalatex-pintura-latex-interior-mate-10-lt.html
5;LATEX INTERIOR ALBALATEX MATE BLANCO 20 LITROS;7792833804995;Alba;https://somosrex.com/latex-interior-albalatex-mate-blanco-20-lts-alba.html
9;ALBALATEX SATINADO DESIGN X20 LITROS;7792833805312;Alba;https://somosrex.com/latex-interior-albalatex-satinado-blanco-20-lts-alba.html
13;Latex Interior Albacryl Mate Blanco 4 Lts;7792833805985;Alba;https://somosrex.com/latex-interior-albacryl-4-lt.html
14;LATEX INTERIOR ALBACRYL MATE BLANCO 10 LITROS;7792833805800;Alba;https://somosrex.com/albacryl-pintura-latex-interior-blanco-mate-x-10-litros.html
15;LATEX INTERIOR ALBACRYL MATE BLANCO 20 LITROS;7792833805725;Alba;https://somosrex.com/latex-interior-albacryl-mate-blanco-20-lts-alba.html
57;LATEX INTERIIOR CIELO RASO ANTIHONGO 4 LITROS;7792833807057;Alba;https://somosrex.com/pintura-cielo-rasos-alba-4-lt-latex-interior.html
61;ENDUIDO INTERIOR PLASTICO ALBA 1 KG;7792833808382;Alba;https://somosrex.com/enduido-interior-plastico-1-litro-alba.html
70;BAÑOS Y COCINAS ANTIHONGO ALBA x1 LITROS;7792833806715;Alba;https://somosrex.com/latex-interior-antihongo-ba-os-y-cocinas-alba-1-lt.html
74;ROLLO DE CARTON CORRUGADO 90CMS x 25MTS;0;Polikraft;https://somosrex.com/carton-corrugado-reforzado-varios-usos-0-90-x-25m.html
75;ALBALUX DIAMANTE 3-1 BLANCO X1 LITROS;7792833400227;Alba;https://somosrex.com/esmalte-sintetico-albalux-diamante-palido.html
91;LATEX INTERIOR ALBACRYL MATE BLANCO 1 L LITROS;7796374088609;Alba;https://somosrex.com/latex-interior-albacryl-1-lt.html
231;CRISTALBA X4 LITROS;7792833424575;Alba;https://somosrex.com/barniz-sintetico-interior-brillante-cristalba-4-lts-alba.html
257;ESMALTE SINTETICO SATINOL BLANCO SATINADO 1 L LITROS;7792833415092;Alba;https://somosrex.com/esmalte-sintetico-satinado-blanco-satinol-1-l-alba.html
258;ESMALTE SINTETICO SATINOL BLANCO SATINADO 4 L LITROS;7792833414910;Alba;https://somosrex.com/esmalte-sintetico-satinado-blanco-satinol-4-lts-alba.html
323;ESMALTE ALTA TEMP. ALUMINIO ALBA 1/2 LITRO (1litro);7792833417232;Alba;https://somosrex.com/esmalte-alta-temperatura-aluminio-alba-1-l-250-c.html
