Codigo;EAN;Detalhe;Marca;Link consultado;Preço;Preço antigo;banco 1 nome;banco 1 parcelas;banco 1 preço;banco 2 nome;banco 2 parcelas;banco 2 preço;banco 3 nome;banco 3 parcelas;banco 3 preço
2;7792833805237;LATEX INTERIOR ALBALATEX  MATE BLANCO 1 LITROS;Alba;https://somosrex.com/latex-interior-albalatex-1-l-blanco-mate-alba.html;$8.935;$11.913;Santander;3 cuotas s/int (total c/reintegro incluido);$7.818;Provincia;6 cuotas s/int (total c/reintegro incluido);$8.935;Galicia;6 cuotas s/int (total c/reintegro incluido);$8.935
4;7792833805077;LATEX INTERIOR ALBALATEX MATE BLANCO 10 LITROS;Alba;https://somosrex.com/albalatex-pintura-latex-interior-mate-10-lt.html;$83.090;$110.786;Santander;3 cuotas s/int (total c/reintegro incluido);$72.703;Provincia;6 cuotas s/int (total c/reintegro incluido);$83.090;Galicia;6 cuotas s/int (total c/reintegro incluido);$83.090
5;7792833804995;LATEX INTERIOR ALBALATEX MATE BLANCO 20 LITROS;Alba;https://somosrex.com/latex-interior-albalatex-mate-blanco-20-lts-alba.html;$128.499;$183.571;Santander;3 cuotas s/int (total c/reintegro incluido);$112.437;Provincia;6 cuotas s/int (total c/reintegro incluido);$128.500;Galicia;6 cuotas s/int (total c/reintegro incluido);$128.500
9;7792833805312;ALBALATEX SATINADO DESIGN X20 LITROS;Alba;https://somosrex.com/latex-interior-albalatex-satinado-blanco-20-lts-alba.html;$223.090;$297.453;Santander;3 cuotas s/int (total c/reintegro incluido);$195.203;Provincia;6 cuotas s/int (total c/reintegro incluido);$223.090;Galicia;6 cuotas s/int (total c/reintegro incluido);$223.090
13;7792833805985;Latex Interior Albacryl Mate Blanco 4 Lts;Alba;https://somosrex.com/latex-interior-albacryl-4-lt.html;$20.881;$26.102;Santander;3 cuotas s/int (total c/reintegro incluido);$18.271;Provincia;6 cuotas s/int (total c/reintegro incluido);$20.881;Galicia;6 cuotas s/int (total c/reintegro incluido);$20.881
14;7792833805800;LATEX INTERIOR ALBACRYL MATE BLANCO 10 LITROS;Alba;https://somosrex.com/albacryl-pintura-latex-interior-blanco-mate-x-10-litros.html;$49.200;$65.600;Santander;3 cuotas s/int (total c/reintegro incluido);$43.050;Provincia;6 cuotas s/int (total c/reintegro incluido);$49.200;Galicia;6 cuotas s/int (total c/reintegro incluido);$49.200
15;7792833805725;LATEX INTERIOR ALBACRYL MATE BLANCO 20 LITROS;Alba;https://somosrex.com/latex-interior-albacryl-mate-blanco-20-lts-alba.html;$84.800;$130.461;Santander;3 cuotas s/int (total c/reintegro incluido);$74.200;Provincia;6 cuotas s/int (total c/reintegro incluido);$84.800;Galicia;6 cuotas s/int (total c/reintegro incluido);$84.800
57;7792833807057;LATEX INTERIIOR CIELO RASO ANTIHONGO 4 LITROS;Alba;https://somosrex.com/pintura-cielo-rasos-alba-4-lt-latex-interior.html;$22.900;$30.534;Santander;3 cuotas s/int (total c/reintegro incluido);$20.038;Provincia;6 cuotas s/int (total c/reintegro incluido);$22.900;Galicia;6 cuotas s/int (total c/reintegro incluido);$22.900
61;7792833808382;ENDUIDO INTERIOR PLASTICO ALBA 1 KG;Alba;https://somosrex.com/enduido-interior-plastico-1-litro-alba.html;$6.683;$8.354;Santander;3 cuotas s/int (total c/reintegro incluido);$5.848;Provincia;6 cuotas s/int (total c/reintegro incluido);$6.683;Galicia;6 cuotas s/int (total c/reintegro incluido);$6.683
70;7792833806715;BAÑOS Y COCINAS ANTIHONGO ALBA x1 LITROS;Alba;https://somosrex.com/latex-interior-antihongo-ba-os-y-cocinas-alba-1-lt.html;$13.505;$16.882;Santander;3 cuotas s/int (total c/reintegro incluido);$11.817;Provincia;6 cuotas s/int (total c/reintegro incluido);$13.505;Galicia;6 cuotas s/int (total c/reintegro incluido);$13.505
